gene	PMID_PMCID	evidence
ENSG00000145335	24833599,18353766,22166424,22619171,23457458,25874605,26610207,24407237,14642269,11535288,25658425,21734300,21044948,21816655,18751989	DisGeNET
ENSG00000159363	21714071,23127617,17485642,24603074,23580333,22457822,18442138,22490479,19409223,19705361,28334751,25149416,23205587,25461191,22288903	DisGeNET
ENSG00000116288	26024237,20423725,17015834,17599367,22173095,14665635,19686841,17504761,30562574,20202083,17015834,18707128,21645620,20089532,15304593	DisGeNET
ENSG00000069535	7695241,25034874,9596006,26000819,17270484,10990520,30963543,30214392,29648817,30359642,27421021,9129714,8929994,15699372,29477889	DisGeNET
ENSG00000158828	22687462,12447943,17017535,17579517,22610403,17707122,25404737,19877238,19703660,21385841,21768365,24151868,19500570,16482571,22482450	DisGeNET
ENSG00000132437	30802998,28682929,23331189,16407771,28526609,29080800,10945765,22093536,28166239,11445284,22424171,12703659,19828868,19231266,18401019	DisGeNET
ENSG00000149295	11864730,29107444,24749760,24892887,16124668,15824260,30604007,26627941,29786071,22507762,9717839,11256581,9247268,22113132,19396436	DisGeNET
ENSG00000185345	11487197,16227987,12722931,15728840,24582596,21147754,12374768,16914382,15816865,12873854,20064468,24852371,15073152,20098416,10983716	DisGeNET
ENSG00000165646	27137201,28963508,31732566,15850588,16386370,23786406,11099463,29337277,30375444,16269145,15475732,28477711,20665056,31205154,9011752	DisGeNET
ENSG00000180176	9592104,18355318,7913740,14622169,17319280,30018702,9613851,29260454,31218647,31603207,30120245,28123558,28887039,18085726,9399211	DisGeNET
ENSG00000184845	23041629,23063686,31626851,31311029,16365282,11245931,30500462,29478239,27460146,8558425	DisGeNET
ENSG00000140443	19276553,19703168,30556245	DisGeNET
ENSG00000188906	22393539,21538530,22056842,26517051,18986509,25391693,26008812,17222580,17971075,17314670,23421816,15541308,16269541,18621566,23220480	DisGeNET
ENSG00000177628	23035075,23297226,22327140,24997549,22451204,26868973,16476943,17702778,24919969,18160183,25813221,23225227,20816920,21621439,30589955	DisGeNET
ENSG00000186868	29029963,18985386,11706972,17637803,19156451,29914030,17514749,22438815,21248740,20951764,17085483,24779391,21063069,31214163,26303052	DisGeNET
ENSG00000109743	28892059,25623333,21268244,30676692,20697102,28515684,21292315,19915576,21292315,25064009,24342025,22490479,21084426,19915576,19915576	DisGeNET
ENSG00000178950	24373818,19772629,21248740,22198721,24039160,28147270,20711177,27182965,23826309,21258085,27508417,20711177,21058943,21258085,26601739	DisGeNET
ENSG00000204287	24849299,24039160,22807207,24511991,25319953,25720714,24373818,24511991,20711177,22243834,20711177,21482477,20711177	DisGeNET
ENSG00000100197	23258538,17250723,1349052,20364044,7903297,27216438,15174030,9455978,11442888,24376807,10071712,7818242,17530572,14557687,17502288	DisGeNET
ENSG00000131095	10462075,28769786,16410750,24749759,24948069,31396803,19276553,28276259,19276553,31800144,28986252,28958936,25120226,30594925,29626798	DisGeNET
ENSG00000010704	26340960,21384276,16824219,12902032,16824219,17056630,18325820,29315562,25863172,16935420,12098643,18300942	DisGeNET
ENSG00000189221	17044053,7913737,10050962,29335210,9642149,18278816,27863747,24008922,12428723,17449559,28034283,8929994,11326308,12098640,10643794	DisGeNET
ENSG00000069329	24262182,24373818,24980502,24740878,27909246,27385586,22336192,23462481,22991136,22410496,26300542,26547032,23408866,29743203,23536430	DisGeNET
ENSG00000109819	25853296,25363075,28611589,30835941,21215313,22100502,19374590,24145959,30090649,30934776,29496354,23939409,31410709,22589246,28407521	DisGeNET
ENSG00000168621	11124990,11549061,21357726,24324616,20350486,19349823,9012352,18061591,31538765,29240240,12075987,21712347,9710530,25325362,9013392	DisGeNET
ENSG00000136244	15635591,28987816,18284424,29036854,22155094,15619128,29576695,31524180,28769786,28623717,29203265,17982884,31828965,30454693,29478949	DisGeNET
ENSG00000085563	15767512,12724617,20558393,15767512,19663741,15542248,20558393,12360103,28412655,12724617,26457621,23987116,18325822,19184162,22971641	DisGeNET
ENSG00000176697	24394906,21510922,15772739,14623353,30993592,19276553,18977816,14642442,24008922,24051673,22001244,24475283,29030221,30296429,28539884	DisGeNET
ENSG00000142319	26306001,25182701,12422069,16963468,31405186,28595287,31229470,29881367,29948246,30180045,31565212,9409349,9629849,9987713,25150291	DisGeNET
ENSG00000232810	17192953,18284424,31178335,20880267,28918840,19776336,30515090,29670828,28726961,29710331,18930140,27776205,28844731,20959812,18930140	DisGeNET
