gene	PMID_PMCID	evidence
ENSG00000259577	27151187	RNAdisease
ENSG00000158748	27151187	RNAdisease
ENSG00000109339	27151187	RNAdisease
ENSG00000122786	27151187	RNAdisease
ENSG00000268257	27021022	RNAdisease
ENSG00000287808	27151187	RNAdisease
ENSG00000005108	27151187	RNAdisease
ENSG00000273018	27151187	RNAdisease
ENSG00000109189	27151187	RNAdisease
ENSG00000140262	27151187	RNAdisease
ENSG00000180264	27151187	RNAdisease
ENSG00000138760	27151187	RNAdisease
ENSG00000004455	27151187	RNAdisease
ENSG00000287736	27021022	RNAdisease
ENSG00000140455	27151187	RNAdisease
ENSG00000173227	27151187	RNAdisease
ENSG00000170949	27151187	RNAdisease
ENSG00000196712	27151187	RNAdisease
ENSG00000258316	27151187	RNAdisease
ENSG00000115486	27151187	RNAdisease
ENSG00000164828	27151187	RNAdisease
ENSG00000182831	27151187	RNAdisease
ENSG00000196535	27151187	RNAdisease
ENSG00000197321	27151187	RNAdisease
ENSG00000100030	27151187	RNAdisease
ENSG00000141040	27151187	RNAdisease
ENSG00000230223	27021022	RNAdisease
ENSG00000111319	27151187	RNAdisease
ENSG00000278768	32308102	RNAdisease
ENSG00000278768	27021022	RNAdisease
ENSG00000283117	27151187	RNAdisease
ENSG00000152465	27151187	RNAdisease
ENSG00000261377	27151187	RNAdisease
ENSG00000187398	27151187	RNAdisease
ENSG00000236824	27021022	RNAdisease
ENSG00000245573	32057951	RNAdisease
ENSG00000104765	35049152	RNAdisease
ENSG00000240498	27021022,34921567	RNAdisease
ENSG00000258498	27021022	RNAdisease
ENSG00000291139	27151187,32057949	RNAdisease
ENSG00000229847	27021022	RNAdisease
ENSG00000130513	30635935	RNAdisease
ENSG00000235590	27021022	RNAdisease
ENSG00000130600	27021022,32356199	RNAdisease
ENSG00000225978	27021022	RNAdisease
ENSG00000228630	26979073,27021022,28445933,33013268	RNAdisease
ENSG00000233429	27021022	RNAdisease
ENSG00000243766	27021022	RNAdisease
ENSG00000253552	27021022,34511122	RNAdisease
ENSG00000254369	27021022	RNAdisease
ENSG00000240990	27021022	RNAdisease
ENSG00000285219	27021022	RNAdisease
ENSG00000255733	27021022	RNAdisease
ENSG00000099869	27021022	RNAdisease
ENSG00000225470	27021022	RNAdisease
ENSG00000280650	27021022	RNAdisease
ENSG00000269821	27021022	RNAdisease
ENSG00000220635	27021022	RNAdisease
ENSG00000231721	32080970	RNAdisease
ENSG00000258609	27021022	RNAdisease
ENSG00000273015	35173238	RNAdisease
ENSG00000228794	35173238	RNAdisease
ENSG00000250739	24651478	RNAdisease
ENSG00000141510	27021022	RNAdisease
ENSG00000251562	27021022,27470562,28439401,33726823	RNAdisease
ENSG00000274072	27021022	RNAdisease
ENSG00000116604	33179210	RNAdisease
ENSG00000214548	27021022	RNAdisease
ENSG00000223403	27021022	RNAdisease
ENSG00000225783	27021022,34514556	RNAdisease
ENSG00000253230	27021022	RNAdisease
ENSG00000283762	35137671	RNAdisease
ENSG00000245532	27021022,29575151,31228597,31311324,31953211,32442477,32712773,33069733,33984130	RNAdisease
ENSG00000260032	31421205,32687247	RNAdisease
ENSG00000253079	27021022	RNAdisease
ENSG00000006210	27021022	RNAdisease
ENSG00000247556	33161106,35049152	RNAdisease
ENSG00000233639	32236821	RNAdisease
ENSG00000152931	34540003	RNAdisease
ENSG00000227418	27021022	RNAdisease
